日期,天气状况,风力风向(夜间/白天),最高温度,最低温度,风力,天气
2023年08月23日,多云  /小雨,南风 1-3级  /北风 1-3级,20,30,2.0,0211
2023年08月24日,小雨  /多云,北风 1-3级  /北风 1-3级,18,23,2.0,1102
2023年08月25日,多云  /多云,北风 1-3级  /北风 1-3级,21,29,2.0,0202
2023年08月26日,阴  /雷阵雨,北风 1-3级  /北风 1-3级,20,26,2.0,0317
2023年08月27日,雷阵雨  /晴,北风 1-3级  /北风 1-3级,19,26,2.0,1701
2023年08月28日,晴  /晴,北风 1-3级  /北风 1-3级,19,30,2.0,0101
2023年08月29日,晴  /晴,北风 1-3级  /北风 1-3级,18,30,2.0,0101
2023年08月30日,多云  /多云,北风 1-3级  /北风 1-3级,19,29,2.0,0202
2023年08月31日,晴  /晴,东北风 1-3级  /东北风 1-3级,19,29,2.0,0101
2023年09月01日,多云  /多云,西南风 1-3级  /西南风 1-3级,20,30,2.0,0202
2023年09月02日,小雨  /小雨,北风 1-3级  /北风 1-3级,20,28,2.0,1111
2023年09月03日,多云  /多云,东风 1-3级  /北风 1-3级,21,30,2.0,0202
2023年09月04日,晴  /多云,西南风 1-3级  /东南风 1-3级,22,32,2.0,0102
2023年09月05日,多云  /晴,南风 1-3级  /南风 1-3级,23,30,2.0,0201
2023年09月06日,多云  /晴,南风 1-3级  /南风 1-3级,22,32,2.0,0201
2023年09月07日,多云  /阴,北风 1-3级  /北风 1-3级,23,32,2.0,0203
2023年09月08日,雷阵雨  /中雨,北风 1-3级  /北风 1-3级,22,28,2.0,1712
2023年09月09日,中雨  /小雨,东北风 1-3级  /东北风 1-3级,20,23,2.0,1211
2023年09月10日,阴  /多云,北风 1-3级  /北风 1-3级,20,26,2.0,0302
2023年09月11日,小雨  /多云,西南风 1-3级  /北风 1-3级,19,29,2.0,1102
