store_id,store_name,store_poi_lon,store_poi_lat,created_at
64744c984b18bad22c97c22c,麦当劳-龙立东方大厦,116.514882,39.904258,2023-05-29T14:56:24.696000+08:00
64744ea04b18bad22c97c25c,房山花花店,116.15888,39.72207,2023-05-29T15:05:04.167000+08:00
6474551bf58171b9ff4355eb,麦当劳-高碑店-非驻店,116.514881,39.904241,2023-05-29T15:32:43.887000+08:00
64745589f58171b9ff4355f1,5.15商家B门店C,116.474091,39.904545,2023-05-29T15:34:33.548000+08:00
647564a984b44a1b4b27414f,北京麦当劳丰管路餐厅,116.302084,39.858233,2023-05-30T10:51:21.776000+08:00
6475661f84b44a1b4b274177,北京麦当劳西三旗餐厅,116.514881,39.904241,2023-05-30T10:57:35.562000+08:00
6475666584b44a1b4b27418d,小古林饭荘,117.49318,38.84355,2023-05-30T10:58:45.085000+08:00
6475686584b44a1b4b27419c,IT专用门店（北京）,116.514907,39.903513,2023-05-30T11:07:17.069000+08:00
64759d8984b44a1b4b2741bb,北京麦当劳信息路餐厅,116.311526,40.035196,2023-05-30T14:54:01.143000+08:00
64759f1084b44a1b4b2741c3,麦当劳麦乐送（天津麦当劳北塘大街FSDT_GS餐厅）,117.72725,39.11059,2023-05-30T15:00:32.152000+08:00
6475a08f84b44a1b4b2741d0,北京麦当劳西四环南路餐厅,116.28986,39.86239,2023-05-30T15:06:55.489000+08:00
6475a11a84b44a1b4b2741d6,麦当劳麦乐送（天津麦当劳和畅路（生态城第三社区）餐厅,117.76395,39.12628,2023-05-30T15:09:14.017000+08:00
6475a17c84b44a1b4b2741dc,麦当劳麦乐送（天津麦当劳滨海洞庭路DT餐厅）,117.70952,39.09301,2023-05-30T15:10:52.861000+08:00
6475a1d084b44a1b4b2741e2,麦当劳麦乐送（天津市麦当劳北海路餐厅）,117.72901,39.0483,2023-05-30T15:12:16.483000+08:00
6476b9744dbb34cb7b29db7e,通州门店,1,1,2023-05-31T11:05:24.975000+08:00
647ea61315dc1fb3f5f3d479,新疆烤包子-四惠东店,116.52131,39.90996,2023-06-06T11:20:51.845000+08:00
647ea63b15dc1fb3f5f3d480,新疆炒米粉-四惠东店,116.52131,39.90996,2023-06-06T11:21:31.674000+08:00
647f3026cae3334e8feb2119,肯德基A店,1,1,2023-06-06T21:09:58.566000+08:00
647f334400232d57db80f3a1,高碑店商铺B,116.53704,39.9163,2023-06-06T21:23:16.692000+08:00
648184e42f0c7a80f0f9c8ab,麦当劳麦乐送（北京上地十街店）,116.302172,40.052354,2023-06-08T15:36:04.885000+08:00
648185dc2f0c7a80f0f9c8b5,麦当劳麦乐送（北京西北旺东路店）,116.279998,40.047507,2023-06-08T15:40:12.486000+08:00
64828e3d88b15fd2a725c655,站点比萨西单店,116.37931,39.91696,2023-06-09T10:28:13.016000+08:00
6482bb1d77bb7a754600bc8a,桃花,116.614855,39.903514,2023-06-09T13:39:41.613000+08:00
6482bb5277bb7a754600bc8e,菊花,116.5,39.903514,2023-06-09T13:40:34.650000+08:00
6482bcc277bb7a754600bcf4,123,1,1,2023-06-09T13:46:42.636000+08:00
648ff1e9adf51a207779ffb7,IT测试站点披萨,116.50708,39.89987,2023-06-19T14:12:57.829000+08:00
6499812a52610a12b0b84ed6,626店铺A,116.517708,39.899929,2023-06-26T20:14:34.539000+08:00
649981f552610a12b0b84eeb,小胖子麻辣烫,116.517708,39.899929,2023-06-26T20:17:57.713000+08:00
649992d8073622eef0e50339,626天津1,117.70952,39.09301,2023-06-26T21:30:00.626000+08:00
649e32c1f7d7de9abc182bc8,店铺1,116.514882,39.904258,2023-06-30T09:41:21.972000+08:00
649e7a87f7d7de9abc182d15,北京麦当劳上地东二路餐厅,116.318282,40.033836,2023-06-30T14:47:35.991000+08:00
64a26e2bf7d7de9abc183134,麦当劳麦乐送（北京通元路店）,116.130762,40.069119,2023-07-03T14:43:55.806000+08:00
64a26f12f7d7de9abc183143,北京麦当劳信息路餐厅,116.311526,40.035196,2023-07-03T14:47:46.380000+08:00
64a2a1a2960f31ea9775d579,大胖子麻辣烫,116.41338,39.91092,2023-07-03T18:23:30.687000+08:00
64a65a963312b74e4384633f,十全十美蛋糕店,116.50708,39.89987,2023-07-06T14:09:26.714000+08:00
64a7945d825e14fb3ac61759,美团林芝测试店铺,94.54328,29.57025,2023-07-07T12:28:13.557000+08:00
64ad149134f1f462e7b5085c,789789,1,1,2023-07-11T16:36:33.361000+08:00
64ae1ae260ff52afbf79c597,99999,1,1,2023-07-12T11:15:46.392000+08:00
64ae1e8f60ff52afbf79c605,111,1,1,2023-07-12T11:31:27.170000+08:00
64ae43ba60ff52afbf79c6a4,8888,8,8,2023-07-12T14:10:02.813000+08:00
64ae45d760ff52afbf79c6b0,777,1,1,2023-07-12T14:19:03.859000+08:00
64ae51192fb421a32f51a8b9,00000,1,1,2023-07-12T15:07:05.139000+08:00
64ae51792fb421a32f51a8bf,天津店铺B,1,1,2023-07-12T15:08:41.580000+08:00
64ae51cf2fb421a32f51a8c9,天津店铺C,1,1,2023-07-12T15:10:07.590000+08:00
64ae5926c922272df4502cac,6666,1,1,2023-07-12T15:41:26.573000+08:00
64ae598ec922272df4502cbd,4442,1,1,2023-07-12T15:43:10.211000+08:00
64ae9b33af10d95c643d7940,小胖子天津分店,117.7028,39.02374,2023-07-12T20:23:15.546000+08:00
64ae9c27af10d95c643d7944,小胖子麻辣烫-天津2,117.74582,39.16036,2023-07-12T20:27:19.705000+08:00
64af5ed9eeeace7af56bedac,测试美团店铺,95.3395,29.33094,2023-07-13T10:18:01.704000+08:00
64afaa25cf5b4abc245e1ec9,白领家园,116.521119,39.910512,2023-07-13T15:39:17.663000+08:00
64afab20cf5b4abc245e1f01,民航医院南门,116.529382,39.915307,2023-07-13T15:43:28.919000+08:00
64afabfe7dd654a0f77946d6,水南庄壹号,116.516151,39.904418,2023-07-13T15:47:10.015000+08:00
64afb1780296974c3d32b54e,guo,11,1,2023-07-13T16:10:32.710000+08:00
64afb1c50296974c3d32b550,茉莉花we,1,1,2023-07-13T16:11:49.307000+08:00
64afbb6e6d55a79716f36ab8,中国紫檀博物馆,116.52482,39.911807,2023-07-13T16:53:02.236000+08:00
64afd289b18c5a93cfe0bb1e,343455,1,1,2023-07-13T18:31:37.151000+08:00
64b0ebc569d23b3e34eafe32,麦当劳店铺A,1,1,2023-07-14T14:31:33.155000+08:00
64b1158f26f5de168aa1319b,百子湾家园,116.51182,39.899142,2023-07-14T17:29:51.850000+08:00
64c1e4fdd23afa3fc537e879,7765,1,1,2023-07-27T11:31:09.256000+08:00
64c23d545cb33f2ddff6671b,邵邵,116.48011,39.894007,2023-07-27T17:48:04.141000+08:00
64c392c9906b82e004151f68,测试MT单据,116.404,39.928,2023-07-28T18:04:57.112000+08:00
64c39d78906b82e004152015,李晓凡,1,1,2023-07-28T18:50:32.430000+08:00
64c89ed2906b82e00415219f,zpf店铺1,116.514882,39.904258,2023-08-01T13:57:38.237000+08:00
64c8b7fb126e062808ff2703,zpf店铺2,116.516151,39.904258,2023-08-01T15:44:59.123000+08:00
64c9e1da94f09fc500df5e19,深圳龙华店,114.047668,22.634126,2023-08-02T12:55:54.503000+08:00
64cc5474760032a8094371a3,1,1,1,2023-08-04T09:29:24.656000+08:00
64cc54e6760032a8094371a5,小胖子麻辣烫-大悦城,12,12,2023-08-04T09:31:18.603000+08:00
64d9964091144799401f99dd,zpf店铺3,116.515615,39.90712,2023-08-14T10:49:36.108000+08:00
64ed52e556602be300211a0f,t_Q96gJHIMDj,116.514882,39.904258,2023-08-29T10:07:33.371000+08:00
